University Name,Code,Associated City
Abertay University,abertayuniversity,Dundee
Aberystwyth University,aberystwythuniversity,Aberystwyth
Anglia Ruskin University,angliaruskinuniversity,Cambridge
Arts University Bournemouth,artsuniversitybournemouth,Poole
Aston University,astonuniversity,Birmingham
Bangor University,bangoruniversity,Bangor
Bath Spa University,bathspauniversity,Bath
BIMM Institute London,bimminstitutelondon,London
"Birkbeck, University of London",birkbeckuniversityoflondon,London
Birmingham City University,birminghamcityuniversity,Birmingham
Bishop Grosseteste University,bishopgrossetesteuniversity,Lincoln
Bournemouth University,bournemouthuniversity,Poole
BPP University,bppuniversity,London
Brunel University London,bruneluniversitylondon,Uxbridge
Buckinghamshire New University,buckinghamshirenewuniversity,High Wycombe
Canterbury Christ Church University,canterburychristchurchuniversity,Canterbury
Cardiff Metropolitan University,cardiffmetropolitanuniversity,Cardiff
Cardiff University,cardiffuniversity,Cardiff
"City, University of London",cityuniversityoflondon,London
Coventry University,coventryuniversity,Coventry
Cranfield University,cranfielduniversity,Bedford
De Montfort University,demontfortuniversity,Leicester
Durham University,durhamuniversity,Durham
Edge Hill University,edgehilluniversity,Ormskirk
Edinburgh Napier University,edinburghnapieruniversity,Edinburgh
European School of Economics,europeanschoolofeconomics,London
Falmouth University,falmouthuniversity,Penryn
Glasgow Caledonian University,glasgowcaledonianuniversity,Glasgow
"Goldsmiths, University of London",goldsmithsuniversityoflondon,London
Guildhall School of Music and Drama,guildhallschoolofmusicanddrama,London
Harper Adams University,harperadamsuniversity,Newport
Hartpury University and Hartpury College,hartpuryuniversityandhartpurycollege,Gloucester
Heriot-Watt University,heriot-wattuniversity,Edinburgh
Hult International Business School,hultinternationalbusinessschool,London
Imperial College London,imperialcollegelondon,London
Keele University,keeleuniversity,Newcastle
King's College London,kingscollegelondon,London
Kingston University,kingstonuniversity,London
Lancaster University,lancasteruniversity,Lancaster
Leeds Arts University,leedsartsuniversity,Leeds
Leeds Beckett University,leedsbeckettuniversity,Leeds
Leeds Conservatoire,leedsconservatoire,Leeds
Leeds Trinity University,leedstrinityuniversity,Leeds
Liverpool Hope University,liverpoolhopeuniversity,Liverpool
Liverpool Institute for Performing Arts,liverpoolinstituteforperformingarts,Liverpool
Liverpool John Moores University,liverpooljohnmooresuniversity,Liverpool
Liverpool School of Tropical Medicine,liverpoolschooloftropicalmedicine,Liverpool
London Business School,londonbusinessschool,London
London Metropolitan University,londonmetropolitanuniversity,London
"London School of Hygiene and Tropical Medicine, University of London",londonschoolofhygieneandtropicalmedicineuniversityoflondon,London
London South Bank University,londonsouthbankuniversity,London
Loughborough University,loughboroughuniversity,Loughborough
Manchester Metropolitan University,manchestermetropolitanuniversity,Manchester
Middlesex University,middlesexuniversity,London
Newcastle University,newcastleuniversity,Newcastle upon Tyne
"Newman University, Birmingham",newmanuniversitybirmingham,Birmingham
Northern School of Contemporary Dance,northernschoolofcontemporarydance,Leeds
Northumbria University,northumbriauniversity,Newcastle upon Tyne
Norwich University of the Arts,norwichuniversityofthearts,Norwich
Nottingham Trent University,nottinghamtrentuniversity,Nottingham
Oxford Brookes University,oxfordbrookesuniversity,Oxford
Plymouth College of Art,plymouthcollegeofart,Plymouth
Plymouth Marjon University,plymouthmarjonuniversity,Plymouth
Queen Margaret University,queenmargaretuniversity,Musselburgh
Queen Mary University of London,queenmaryuniversityoflondon,London
Queen's University Belfast,queensuniversitybelfast,Belfast
Ravensbourne University London,ravensbourneuniversitylondon,London
Regent's University London,regentsuniversitylondon,London
"Richmond, The American International University in London",richmondtheamericaninternationaluniversityinlondon,London
Robert Gordon University,robertgordonuniversity,Aberdeen
Rose Bruford College,rosebrufordcollege,Sidcup
"Royal Academy of Music, University of London",royalacademyofmusicuniversityoflondon,London
Royal Agricultural University,royalagriculturaluniversity,Cirencester
Royal College of Art,royalcollegeofart,London
Royal College of Music,royalcollegeofmusic,London
Royal Conservatoire of Scotland,royalconservatoireofscotland,Glasgow
"Royal Holloway, University of London",royalhollowayuniversityoflondon,Egham
Royal Northern College of Music,royalnortherncollegeofmusic,Manchester
Royal Veterinary College University of London,royalveterinarycollegeuniversityoflondon,London
"School of Advanced Study, University of London",schoolofadvancedstudyuniversityoflondon,London
Scotland's Rural College,scotlandsruralcollege,Aberdeen
Sheffield Hallam University,sheffieldhallamuniversity,Sheffield
"SOAS, University of London",soasuniversityoflondon,London
Solent University,solentuniversity,Southampton
"St George's, University of London",stgeorgesuniversityoflondon,London
"St Mary's University, Twickenham",stmarysuniversitytwickenham,London
Staffordshire University,staffordshireuniversity,Stoke-on-Trent
Swansea University,swanseauniversity,Swansea
Teesside University,teessideuniversity,Middlesbrough
"The Courtauld Institute of Art, University of London",thecourtauldinstituteofartuniversityoflondon,London
The Glasgow School of Art,theglasgowschoolofart,Glasgow
The London Institute of Banking and Finance,thelondoninstituteofbankingandfinance,London
The London School of Economics and Political Science,thelondonschoolofeconomicsandpoliticalscience,London
The Royal Central School of Speech and Drama,theroyalcentralschoolofspeechanddrama,London
The University of Buckingham,theuniversityofbuckingham,Buckingham
The University of Edinburgh,theuniversityofedinburgh,Edinburgh
The University of Hull,theuniversityofhull,Hull
The University of Law,theuniversityoflaw,Guildford
The University of Manchester,theuniversityofmanchester,Manchester
The University of Northampton,theuniversityofnorthampton,Northampton
The University of Nottingham,theuniversityofnottingham,Nottingham
The University of Sheffield,theuniversityofsheffield,Sheffield
The University of Warwick,theuniversityofwarwick,Coventry
The University of Winchester,theuniversityofwinchester,Winchester
The University of York,theuniversityofyork,York
Trinity Laban Conservatoire of Music and Dance,trinitylabanconservatoireofmusicanddance,London
Ulster University,ulsteruniversity,Belfast
University College Birmingham,universitycollegebirmingham,Birmingham
University College London,universitycollegelondon,London
University for the Creative Arts,universityforthecreativearts,Farnham
University of Aberdeen,universityofaberdeen,Aberdeen
University of Bath,universityofbath,Bath
University of Bedfordshire,universityofbedfordshire,Luton
University of Birmingham,universityofbirmingham,Birmingham
University of Bolton,universityofbolton,Bolton
University of Bradford,universityofbradford,Bradford
University of Brighton,universityofbrighton,Brighton
University of Bristol,universityofbristol,Bristol
University of Central Lancashire,universityofcentrallancashire,Preston
University of Chester,universityofchester,Chester
University of Chichester,universityofchichester,Chichester
University of Cumbria,universityofcumbria,Carlisle
University of Derby,universityofderby,Derby
University of Dundee,universityofdundee,Dundee
University of East Anglia,universityofeastanglia,Norwich
University of East London,universityofeastlondon,London
University of Essex,universityofessex,Colchester
University of Exeter,universityofexeter,Exeter
University of Glasgow,universityofglasgow,Glasgow
University of Gloucestershire,universityofgloucestershire,Cheltenham
University of Greenwich,universityofgreenwich,London
University of Hertfordshire,universityofhertfordshire,Hatfield
University of Huddersfield,universityofhuddersfield,Huddersfield
University of Kent,universityofkent,Canterbury
University of Leeds,universityofleeds,Leeds
University of Leicester,universityofleicester,Leicester
University of Lincoln,universityoflincoln,Lincoln
University of Liverpool,universityofliverpool,Liverpool
University of London,universityoflondon,London
University of Plymouth,universityofplymouth,Plymouth
University of Portsmouth,universityofportsmouth,Portsmouth
University of Reading,universityofreading,Reading
University of Roehampton,universityofroehampton,London
University of Salford,universityofsalford,Salford
University of South Wales,universityofsouthwales,Cardiff
University of Southampton,universityofsouthampton,Southampton
University of St Andrews,universityofstandrews,St Andrews
University of Stirling,universityofstirling,Stirling
University of Strathclyde,universityofstrathclyde,Glasgow
University of Suffolk,universityofsuffolk,Ipswich
University of Sunderland,universityofsunderland,Sunderland
University of Surrey,universityofsurrey,Guildford
University of Sussex,universityofsussex,Brighton
University of the Arts London,universityoftheartslondon,London
University of the Highlands and Islands,universityofthehighlandsandislands,Inverness
University of the West of England,universityofthewestofengland,Bristol
University of the West of Scotland,universityofthewestofscotland,Glasgow
University of Wales,universityofwales,Cardiff
University of Wales Trinity Saint David,universityofwalestrinitysaintdavid,Lampeter
University of West London,universityofwestlondon,London
University of Westminster,universityofwestminster,London
University of Wolverhampton,universityofwolverhampton,Wolverhampton
University of Worcester,universityofworcester,Worcester
Wrexham Glyndwr University,wrexhamglyndwruniversity,Wrexham
Writtle University College,writtleuniversitycollege,Chelmsford
York St John University,yorkstjohnuniversity,York
University of Oxford,universityofoxford,Oxford
University of Cambridge,universityofcambridge,Cambridge
